Longitude,Latitude,fid,CEC,Elevation,Slope,Aspect,Curvature,TWI,TPI,SR_L,NR_L,Treatment,NDVI_20170407,NDVI_20170507,NDVI_20170611,NDVI_20170701,NDVI_20170717,NDVI_20170819,NDVI_20170901,NDVI_20170916,NDVI_20170929,Yield
416666,4654779,55747,26.81174829,877.2679511,0.01842367,4.738925457,0.004402478,7.768898328,-0.013376628,B,A,BA,0.194343756,0.17329544,0.323464014,0.803437115,0.85807987,0.841522914,0.79316919,0.534468154,0.331355871,13967.13427
416777,4654779,55784,30.87592316,875.3895603,0.040109204,1.661530375,-0.011454309,7.27390941,0.016013477,A,A,AA,0.204822506,0.18145375,0.281057381,0.75123767,0.856565236,0.835499751,0.801624595,0.588023745,0.381011184,14283.10371
417065,4654785,55327,27.97853279,872.9150933,0.046468092,5.033846537,0.012284916,5.001001835,0.157602735,D,C,DC,0.21912057,0.161311756,0.355071412,0.812597945,0.864978109,0.841931835,0.810589501,0.643095443,0.423945303,17483.25016
417014,4654785,55310,31.09790272,871.898763,0.013988385,1.169124219,-0.00309419,6.218311575,0.048595172,A,C,AC,0.190659911,0.17766546,0.287119123,0.728509294,0.855919413,0.838856032,0.793043074,0.617861385,0.408537116,14107.2716
417122,4654785,55346,24.90510453,871.4725884,0.07225849,1.468403776,-0.019150302,5.523302714,0.059705045,D,C,DC,0.193356093,0.164159545,0.367752112,0.801259444,0.854339572,0.853185758,0.791385857,0.531260634,0.359844062,15252.14898
417200,4654785,55372,24.87374814,870.0855984,0.051445103,5.81788969,0.009935703,7.00766929,-0.025490038,A,B,AB,0.189040378,0.169300673,0.324474445,0.756396196,0.826533794,0.815963996,0.775662706,0.549930461,0.371825821,13373.33066
416489,4654782,55411,32.6622022,876.6662191,0.075962951,0.720268706,-0.021961078,4.983446757,0.231104131,C,B,CB,0.179305609,0.158680125,0.344601706,0.800910578,0.860049487,0.843260863,0.809068894,0.549803955,0.374097695,14585.78267
416441,4654782,55395,33.25605435,877.4314372,0.036094237,4.078208923,0.008520811,7.068067074,0.022177733,C,C,CC,0.212166361,0.173215128,0.370900866,0.798761605,0.853040353,0.8333271,0.79367106,0.575999753,0.389462745,16014.15264
416561,4654782,55435,31.96538883,876.2518243,0.03411239,2.281665564,-0.003463863,6.796204567,-0.040241014,A,B,AB,0.178569378,0.16862648,0.373410971,0.807768456,0.84826489,0.845783346,0.79365484,0.596850319,0.379630863,16112.01221
416675,4654782,55473,26.04702526,877.3643324,0.019871932,3.526382923,0.002346852,8.609192848,-0.067389257,B,A,BA,0.203084465,0.15900475,0.318985548,0.783057776,0.863488673,0.840369755,0.804511068,0.543706799,0.35436105,14267.7719
416645,4654782,55463,28.49806849,876.6599053,0.025391735,4.333814144,0.007839679,9.727759361,-0.105190136,B,A,BA,0.176617046,0.162387382,0.356577904,0.820184798,0.863215393,0.843753522,0.78633685,0.51778921,0.344589086,14969.52287
416777,4654782,55507,30.60133976,875.4161716,0.04019941,1.715856194,-0.011443856,7.291923046,0.015756641,A,A,AA,0.207036378,0.180916297,0.282802882,0.759229427,0.856045328,0.837474795,0.805102848,0.595997895,0.395152472,14274.3517
416894,4654782,55546,34.78872172,872.0872396,0.061948287,2.587008397,-0.009162467,5.319469611,0.132691701,B,C,BC,0.197055905,0.158611521,0.346201646,0.803757409,0.85673473,0.849900762,0.802237621,0.584201537,0.361706729,16254.78684
416858,4654782,55534,34.19179365,872.6136203,0.038368909,2.277255376,-0.004022352,9.730234146,-0.022293555,D,B,DB,0.162023765,0.166779559,0.382028577,0.814128964,0.857201632,0.84608381,0.80508499,0.573371339,0.371053,16234.02091
416834,4654776,56081,35.74689017,873.3962402,0.025533811,1.71869266,-0.008752453,9.203404109,-0.017190885,D,B,DB,0.21569949,0.172641704,0.335962197,0.803266021,0.868136782,0.850574576,0.807184105,0.591041817,0.394141435,14919.80289
416786,4654776,56065,32.2915713,875.0375909,0.04340319,1.699044585,-0.011820554,7.773416519,-0.041673925,D,B,DB,0.185961927,0.171825931,0.280478826,0.752365061,0.857416786,0.838403127,0.807876185,0.600364311,0.363821136,14677.31114
416948,4654776,56119,35.27712292,871.1344401,0.009564371,3.987888177,-0.003889018,13.39243031,-0.112742384,B,C,BC,0.189187595,0.16522922,0.361739071,0.820271332,0.862278991,0.850887009,0.808835262,0.56463859,0.372799597,16121.47572
417005,4654776,56138,30.76809841,871.8468289,0.010714929,0.211448997,-0.001146719,7.993362427,-0.019343359,B,D,BD,0.205558235,0.188467334,0.299562493,0.74189846,0.85933008,0.840867797,0.809191302,0.596321408,0.379131787,14992.79177
417158,4654776,56189,20.11374516,869.2269355,0.046131448,1.816870093,-0.011891323,5.944865863,-0.046610253,A,A,AA,0.178434647,0.162730048,0.382386863,0.807220567,0.847053775,0.838787917,0.780768066,0.524528536,0.336580463,15237.57224
417077,4654776,56162,25.69305038,873.3503418,0.01587303,3.711837053,0.003708712,4.841889381,0.145470798,B,B,BB,0.194488313,0.154303934,0.337728548,0.800629376,0.856756297,0.848762168,0.812152755,0.627592173,0.388139773,15734.56067
417185,4654776,56198,20.59416347,869.9776611,0.052751865,5.410789967,0.00799257,7.379152775,-0.110931545,A,A,AA,0.201870995,0.174429213,0.332019265,0.767609261,0.817838488,0.817639552,0.755593115,0.489088914,0.336792455,12636.68767
416486,4654773,56244,31.68197823,877.5494656,0.021185014,1.575105786,-0.011819644,6.479649544,0.042044826,C,B,CB,0.184930124,0.153211761,0.364361243,0.809628404,0.853643436,0.841961175,0.809326801,0.525636667,0.355789433,13940.3556
416600,4654773,56282,30.37812763,875.8975559,0.023436697,4.967925549,0.007228889,10.34400368,-0.038584474,A,B,AB,0.177013991,0.164714441,0.370928315,0.814194549,0.850234616,0.842443807,0.804284281,0.53874248,0.343449151,15641.60048
416549,4654773,56265,32.29330826,876.7633396,0.012945488,1.244411608,-0.001259213,5.723177274,0.085211394,A,B,AB,0.205074836,0.191444327,0.383431243,0.798977199,0.848675787,0.842074708,0.799116588,0.59479192,0.389512744,16772.74794
416669,4654773,56305,26.22564252,877.5466241,0.007407023,4.712388992,0.004758134,8.199893951,0.049113835,B,A,BA,0.183666107,0.158676348,0.343382652,0.804622899,0.852452572,0.833557358,0.790430771,0.523755091,0.338959031,14283.88781
416924,4654779,55833,36.74710041,871.4218275,0.051477174,2.796590699,-0.005928728,7.535864724,0.011313422,B,C,BC,0.164969605,0.176101095,0.359526512,0.810978293,0.856387972,0.840128833,0.813601432,0.554052049,0.361292747,15574.25211
416852,4654779,55809,34.75012928,872.6213447,0.039475292,1.715906382,-0.007039455,9.276248932,-0.01441914,D,B,DB,0.182196382,0.186145938,0.379913008,0.805229244,0.865094532,0.854347839,0.806458164,0.566326336,0.367728678,16341.54385
416981,4654779,55852,31.08263927,871.58353,0.02895969,5.210947831,0.005603915,7.426451842,-0.073415918,B,D,BD,0.179422702,0.174516151,0.34084271,0.806247566,0.860891655,0.846120049,0.812427898,0.57546031,0.394043284,16648.43196
417131,4654779,55902,23.0275135,870.8398438,0.073438816,1.784853896,-0.018864349,5.24429369,0.125761559,A,A,AA,0.200861185,0.157583831,0.365538794,0.798497871,0.853144387,0.839710653,0.793479018,0.491637511,0.348292523,13928.35826
417056,4654779,55877,28.88878377,872.5291138,0.055580199,4.915735881,0.01311206,6.367427349,-0.059798375,B,B,BB,0.212144918,0.162198512,0.350759139,0.80374159,0.860014386,0.844810269,0.811833769,0.646623269,0.463206377,17217.63699
417179,4654779,55918,20.97004297,869.7112155,0.047510157,5.277885172,0.008206655,6.996095551,-0.03206378,A,A,AA,0.179101888,0.16893391,0.351197186,0.773671721,0.831990758,0.816794994,0.744475612,0.479490618,0.33435685,12679.43287
416492,4654776,55967,32.47952949,877.0819702,0.039672699,0.965207338,-0.01967497,5.171265125,0.198471487,C,B,CB,0.184891051,0.163772178,0.353868759,0.80505518,0.863823742,0.844326444,0.807986019,0.536325742,0.347477149,14335.33115
416579,4654776,55996,31.18055598,875.8534207,0.028599666,1.448295196,-0.010671789,11.23728307,-0.100686036,A,B,AB,0.197850548,0.167704585,0.38105204,0.820209305,0.855557118,0.843362426,0.804979486,0.593904866,0.359602554,16210.28687
416501,4654776,55970,33.26451747,876.5552979,0.075180002,0.634517431,-0.018090282,5.319196701,0.178968847,C,B,CB,0.191510944,0.154401372,0.354522516,0.817159777,0.85990078,0.844647471,0.805356759,0.544725869,0.360873164,15415.7269
416648,4654776,56019,28.19590484,877.0459663,0.02373277,5.105426153,0.007076245,7.091443539,0.000834831,B,A,BA,0.189682998,0.176523975,0.3615002,0.811111845,0.86375196,0.842471517,0.793050292,0.493179956,0.363826097,14353.02658
416777,4654776,56062,31.16279284,875.5170424,0.0400641,1.634367466,-0.011459536,7.264902592,0.016141895,A,A,AA,0.196203425,0.169957309,0.287305275,0.755937055,0.854468692,0.831888803,0.798727403,0.576886572,0.375667331,14492.15486
416687,4654776,56032,25.08951463,877.6857571,0.010741194,3.893194199,0.001124767,8.680546761,-0.046495311,B,A,BA,0.211012114,0.178835427,0.301709573,0.76976598,0.859662785,0.839889924,0.813550358,0.563522876,0.377396107,14414.56056
417143,4654794,54528,26.23348321,869.9090508,0.062120997,1.220839858,-0.014466625,5.8728572,0.046480815,A,B,AB,0.185657729,0.174769334,0.381811826,0.810204513,0.852199769,0.847571487,0.795556224,0.544492819,0.367384012,16031.84866
416483,4654791,54582,32.70128971,876.3691678,0.096296258,0.889849206,-0.025701567,5.83367761,-0.012916927,C,B,CB,0.178834486,0.136499791,0.343242243,0.788004411,0.856941575,0.845269026,0.803975872,0.550606421,0.362457765,15559.04898
416570,4654791,54611,31.77023845,876.2815213,0.048848551,1.806452751,-0.009006293,5.422106743,0.1064042,A,B,AB,0.194179821,0.164971856,0.389826913,0.812203363,0.848821898,0.844086331,0.789356907,0.527497174,0.357318366,15561.50695
416660,4654791,54641,27.31431813,877.4303792,0.02836993,3.878553629,0.001938389,7.537976742,-0.02987168,D,D,DD,0.189897705,0.178406774,0.332856466,0.804951759,0.869725024,0.845997274,0.811595131,0.569172117,0.352537884,15742.99005
416621,4654791,54628,30.19403903,876.4507989,0.02491712,4.662275791,0.011582753,7.786291599,-0.015872071,C,C,CC,0.181450659,0.179712501,0.38459879,0.819727522,0.860203797,0.838540223,0.786073002,0.471416155,0.334954,13993.11972
416741,4654791,54668,26.01377953,877.0050998,0.03305966,1.535064578,-0.007425989,6.52870512,0.023405468,C,B,CB,0.215322017,0.188341052,0.325997542,0.77180654,0.859913201,0.847007882,0.801085163,0.589697968,0.385542492,15745.70029
416828,4654791,54697,34.96151861,873.7298855,0.034790469,2.164769808,-0.007836229,8.360308647,-0.018562923,B,D,BD,0.193764602,0.176897523,0.341771398,0.799808981,0.860657902,0.850936751,0.81033587,0.641078531,0.42287363,16331.15835
416978,4654791,54747,31.23010784,871.5859443,0.019669068,5.062594414,0.003734194,6.397829851,0.020999186,A,C,AC,0.216548137,0.159970354,0.365149061,0.819868514,0.852536302,0.84267791,0.805643449,0.592560352,0.383877422,15869.56065
416906,4654791,54723,35.14845488,872.2662896,0.037897564,2.602692127,-0.006842007,8.024620056,0.01220498,C,D,CD,0.181944591,0.186540802,0.349218864,0.809508752,0.855191298,0.846272712,0.80851818,0.596115565,0.377759271,16510.00776
417017,4654791,54760,31.25155746,871.6578098,0.025713798,0.573170543,-0.00360566,6.140823841,0.023027247,A,C,AC,0.199115839,0.187640954,0.273689878,0.712612111,0.856605569,0.837769426,0.807195392,0.62438315,0.409112293,14485.03651
417203,4654797,54275,28.99528631,869.2772759,0.073349588,5.893366178,0.008935704,6.801899433,-0.125455111,A,B,AB,0.178338814,0.172198635,0.312296124,0.738408035,0.824583235,0.823410647,0.782816562,0.604179223,0.400869052,12554.29792
416495,4654794,54312,34.50439962,875.2340495,0.1081384,0.793935021,-0.01888748,6.063928922,-0.122776986,C,C,CC,0.198247435,0.161457091,0.37235008,0.814932216,0.86345797,0.851038479,0.809626023,0.574302113,0.342635895,16024.27873
416645,4654794,54362,28.39246368,877.059177,0.045688711,3.89281551,0.008582847,7.065908909,-0.066700064,D,D,DD,0.209153856,0.167531078,0.3813083,0.818890771,0.861929039,0.847279771,0.793645373,0.506985986,0.345580407,14216.66585
416600,4654794,54347,31.28783544,875.8400947,0.029714398,4.800851663,0.00672477,8.7305638,-0.010363737,B,A,BA,0.183565759,0.157862235,0.370611727,0.802944719,0.853989055,0.849796389,0.782587506,0.474937428,0.339411548,12196.6948
416738,4654794,54393,25.71119414,877.0980903,0.033266642,1.410242385,-0.007579521,6.056249777,0.051053298,C,B,CB,0.220661342,0.201362207,0.328218928,0.781188197,0.857644278,0.84230998,0.812887636,0.596326152,0.398654655,15753.43466
416732,4654794,54391,25.37250879,877.269043,0.029127003,1.341479083,-0.006608826,6.044989427,0.070320606,C,B,CB,0.227427722,0.180982208,0.323102631,0.781157137,0.860528436,0.844107641,0.805996817,0.601541493,0.410191989,14506.01005
416831,4654794,54424,34.73471959,873.6575996,0.034835836,2.254849037,-0.006653788,8.272097588,-0.00550052,B,D,BD,0.201077544,0.173702212,0.352008726,0.805357021,0.854188624,0.850946171,0.804248408,0.635267274,0.417191245,16202.78692
416765,4654794,54402,28.0874869,876.1745877,0.040417177,1.642426372,-0.008823537,7.315991879,-0.022382195,C,B,CB,0.202968936,0.179793155,0.332521573,0.791437025,0.858590336,0.841893443,0.796352451,0.594994922,0.372772287,15080.89371
416921,4654794,54454,35.70618227,872.0577189,0.033461208,2.439136505,-0.006697355,7.789058367,0.059369239,C,D,CD,0.189495866,0.178845592,0.353969799,0.810962571,0.864137574,0.850796252,0.809572284,0.615562321,0.408087332,16504.5488
417038,4654794,54493,31.26389186,871.5708211,0.041409944,5.794759803,0.00362155,6.335660246,-0.00396339,A,C,AC,0.212986961,0.170944909,0.294652052,0.768305271,0.857435618,0.842678894,0.809068034,0.644895642,0.470027013,16929.95868
416993,4654794,54478,30.45244683,871.801256,0.021128441,5.688121955,0.003205642,5.720619414,0.065578201,A,C,AC,0.183773885,0.173316452,0.331828791,0.802234535,0.855136008,0.844259125,0.805102046,0.585380833,0.401669443,15313.02495
417110,4654794,54517,26.01888508,871.9982503,0.072631923,1.087718606,-0.017196144,5.450282415,0.081815561,D,C,DC,0.179923072,0.166111488,0.351749272,0.809469216,0.858429586,0.851419979,0.814221916,0.549310013,0.376028798,14501.98434
417065,4654794,54502,28.31195365,872.4672173,0.065499425,5.482420603,0.011290358,5.210430145,0.082309278,D,C,DC,0.211945577,0.169083942,0.365671205,0.821104752,0.857841278,0.847719916,0.805891209,0.625833466,0.419284772,17270.64632
417074,4654788,55054,27.01000002,873.1951836,0.023262627,5.509900093,0.006870479,4.760300954,0.180459897,D,C,DC,0.197673586,0.161175414,0.36232152,0.813685293,0.861367607,0.850155041,0.804599185,0.630392541,0.415049104,16583.29068
417197,4654788,55095,25.3977926,869.7288886,0.053797901,5.864291191,0.005580535,6.621629715,0.089561038,A,B,AB,0.191980407,0.166175131,0.332699529,0.770569644,0.827984161,0.83031383,0.778024438,0.561848298,0.376532872,13766.73266
416450,4654785,55122,31.67266231,877.6893921,0.019638299,3.606552601,0.000280323,6.527442932,0.007389193,C,B,CB,0.203817882,0.146675006,0.316910784,0.782364438,0.853668515,0.835145741,0.803002949,0.604597666,0.406763005,13169.81033
416546,4654785,55154,32.60307905,876.3069526,0.027098402,5.211374919,0.011141221,5.805683772,0.071069139,A,B,AB,0.191525442,0.167120394,0.349712369,0.797287484,0.841272782,0.834524841,0.790316327,0.538850333,0.367812082,15249.87586
416513,4654785,55143,35.03222148,875.0125258,0.114910881,0.280847018,-0.003379182,6.683511681,-0.165580795,C,B,CB,0.184508896,0.163465267,0.36746716,0.808511563,0.862259262,0.850676628,0.809330448,0.57675403,0.343054176,12930.6305
416615,4654785,55177,30.32084253,876.0175442,0.02704281,4.793919245,0.007247739,8.889308294,-0.021947461,B,A,BA,0.199372754,0.159102565,0.345560611,0.806830068,0.866392508,0.83813318,0.788571085,0.504539672,0.34618858,14026.09523
